username,name,followersCount,followingCount,isBlueVerified,profileUrl,description
OpenAI,OpenAI,4663408,4,True,https://x.com/OpenAI,OpenAI’s mission is to ensure that artificial general intelligence benefits all of humanity. We’re hiring: https://t.co/dJGr6LgzPA
sama,Sam Altman,4445454,987,True,https://x.com/sama,AI is cool i guess
GoogleAI,Google AI,2351677,29,True,https://x.com/GoogleAI,Making AI helpful for everyone. Show thinking ↓
karpathy,Andrej Karpathy,1879987,1055,True,https://x.com/karpathy,"I like to train large deep neural nets. Previously Director of AI @ Tesla, founding team @ OpenAI, PhD @ Stanford."
AndrewYNg,Andrew Ng,1393793,1064,True,https://x.com/AndrewYNg,"Co-Founder of Coursera; Stanford CS adjunct faculty. Former head of Baidu AI Group/Google Brain. #ai #machinelearning, #deeplearning #MOOCs"
AnthropicAI,Anthropic,979503,35,True,https://x.com/AnthropicAI,"We're an AI safety and research company that builds reliable, interpretable, and steerable AI systems. Talk to our AI assistant @claudeai on https://t.co/FhDI3KQh0n."
deepseek_ai,DeepSeek,978693,0,True,https://x.com/deepseek_ai,Unravel the mystery of AGI with curiosity. Answer the essential question with long-termism.
claudeai,Claude,642454,1,True,https://x.com/claudeai,"Claude is an AI assistant built by @anthropicai to be safe, accurate, and secure. Talk to Claude on https://t.co/ZhTwG8dz3D or download the app."
huggingface,Hugging Face,636289,220,True,https://x.com/huggingface,The AI community building the future. https://t.co/TpiXQMQ9rZ
geoffreyhinton,Geoffrey Hinton,559748,28,True,https://x.com/geoffreyhinton,deep learning
AlexFinn,Alex Finn,429546,8762,True,https://x.com/AlexFinn,"I love vibe coding. Founder/CEO of Creator Buddy, the only AI trained on all of your X posts. Built a $300k ARR app by myself. https://t.co/4BfYJUDFEh"
openclaw,OpenClaw🦞,414101,19,True,https://x.com/openclaw,"The AI that does things. Emails, calendar, home automation, from your favorite chat app. Your machine, your rules.  New shell, same lobster soul. 🦞"
steipete,Peter Steinberger 🦞,410059,2274,True,https://x.com/steipete,Polyagentmorous ClawFather. Came back from retirement to mess with AI and help a lobster take over the world @openclaw🦞
bcherny,Boris Cherny,296235,129,True,https://x.com/bcherny,Claude Code @anthropicai
OfficialLoganK,Logan Kilpatrick,281502,2944,True,https://x.com/OfficialLoganK,"Member of technical staff, working on @GoogleAIStudio, the Gemini API, & Kaggle. My views!"
ManusAI,Manus,238092,28,False,https://x.com/ManusAI,"Manus from @Meta is the general AI agent that bridges minds and actions: it doesn't just think, it delivers results.  Telegram: https://t.co/kdHdNxZ6xF"
LangChain,LangChain,237022,82,True,https://x.com/LangChain,The platform for agent engineering. Makers of LangSmith and @LangChain_OSS and @LangChain_JS.
Replit,Replit ⠕,221263,570,True,https://x.com/Replit,"Idea to app, fast. Create beautiful, modern web applications at the speed of thought with the power of Replit's AI Agent."
lilianweng,Lilian Weng,189675,172,True,https://x.com/lilianweng,"Co-founder of Thinking Machines Lab @thinkymachines; Ex-VP, AI Safety & robotics, applied research @OpenAI; Author of Lil'Log"
Alibaba_Qwen,Qwen,177484,5,True,https://x.com/Alibaba_Qwen,Open foundation models for AGI.
alexalbert__,Alex Albert,123533,680,True,https://x.com/alexalbert__,Claude Relations @AnthropicAI. Opinions are my own!
trq212,Thariq,107430,1673,True,https://x.com/trq212,"Claude Code @anthropicai.   prev YC W20, mit media lab.   towards machines of loving grace"
